rank,feature,mean_abs_shap_log_odds,mean_shap_log_odds,feature_group
63,weather_snow_sum_prev_6h,0.00011374342110318498,7.648333625678537e-07,weather
64,segment_accidents_prev_24h,9.276307137008919e-05,4.02278185265831e-05,historical
65,poi_healthcare_100m,6.73570285716213e-05,-2.838440362880426e-05,POI
66,poi_emergency_100m,0.0,0.0,POI
67,poi_other_100m,0.0,0.0,POI
68,poi_crossing_500m,0.0,0.0,POI
69,weather_temperature_2m,0.0,0.0,weather
70,weather_relative_humidity_2m,0.0,0.0,weather
71,weather_rain,0.0,0.0,weather
72,weather_snowfall,0.0,0.0,weather
73,weather_cloud_cover,0.0,0.0,weather
74,weather_wind_speed_10m,0.0,0.0,weather
75,weather_code,0.0,0.0,weather
76,weather_risk_high_wind_now,0.0,0.0,weather
77,weather_risk_adverse_now,0.0,0.0,weather
78,weather_precip_sum_prev_3h,0.0,0.0,weather
79,weather_snow_sum_prev_3h,0.0,0.0,weather
80,weather_wind_mean_prev_3h,0.0,0.0,weather
81,weather_adverse_hours_prev_3h,0.0,0.0,weather
82,weather_precip_sum_prev_6h,0.0,0.0,weather
83,weather_precip_sum_prev_24h,0.0,0.0,weather
84,weather_snow_sum_prev_24h,0.0,0.0,weather
85,weather_adverse_hours_prev_24h,0.0,0.0,weather
86,calendar_month,0.0,0.0,calendar
87,calendar_is_weekend,0.0,0.0,calendar
88,calendar_is_holiday,0.0,0.0,calendar
89,calendar_holiday_name,0.0,0.0,calendar
90,calendar_is_day_before_holiday,0.0,0.0,calendar
91,calendar_is_day_after_holiday,0.0,0.0,calendar
92,calendar_season,0.0,0.0,calendar
93,calendar_is_school_summer_break,0.0,0.0,calendar
94,calendar_is_school_winter_break,0.0,0.0,calendar
95,calendar_is_school_autumn_break,0.0,0.0,calendar
96,weather_weather_code,0.0,0.0,weather
97,weather_interaction_adverse_road_highway,0.0,0.0,weather
